Community,Achmil,Agrdas,Agrsca,Antneg,Antmic,Artfri,Artlud,Astagr,Astfal,Astlae,Bougra,Camrot,Carspp,Cerarv,Comumb,Danint,Elytra,Ericae,Polcon,Feshal,Galbor,Geutri,Sticur,Koemac,Stivir,Oxycam,Passmi,Pengra,Poaint,Poapra,Potarg,Potcon,Potpen,Rosark,Solmis,Taroff,Therho,Tradub,Vioadu
NNR2 2,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0.025,0,0,0.416666667,0,0,0,0.125,0,0.008333333,0,0,0
NNR2 3,0.057142857,0,0,0,0.021428571,0.071428571,0,0,0.021428571,0.035714286,0.107142857,0,0.142857143,0.021428571,0,0,0,0,0,0,0,0,0.178571429,0,0,0,0.035714286,0,0,0.285714286,0,0,0,0,0,0,0,0,0.021428571
NNR2 4,0,0,0.06993007,0,0,0,0,0,0.055944056,0.020979021,0,0,0.174825175,0.034965035,0,0,0,0,0,0,0,0,0.48951049,0,0,0.020979021,0,0.020979021,0,0,0.034965035,0.020979021,0,0.034965035,0.020979021,0,0,0,0
NNR2 5,0.018867925,0,0,0,0,0,0.050314465,0,0,0.188679245,0.113207547,0,0.050314465,0.031446541,0.006289308,0,0,0,0,0,0,0,0.188679245,0.018867925,0,0,0,0,0.018867925,0.251572327,0,0,0,0.062893082,0,0,0,0,0
NNR2 6,0,0,0,0,0,0.02,0.053333333,0,0.1,0,0.033333333,0,0.133333333,0,0.02,0,0,0,0.02,0,0.033333333,0,0.266666667,0.066666667,0.133333333,0,0,0,0,0,0,0,0,0.02,0,0.02,0.053333333,0.006666667,0.02
NNR2 7,0,0.021126761,0,0,0.035211268,0,0,0,0.176056338,0,0,0.007042254,0.105633803,0.021126761,0.007042254,0,0,0,0,0,0,0,0.316901408,0.070422535,0,0,0,0.021126761,0.021126761,0.14084507,0,0,0,0.035211268,0.021126761,0,0,0,0
NNR2 11,0.02027027,0,0,0,0,0.033783784,0.067567568,0.033783784,0.067567568,0.033783784,0,0,0.067567568,0,0,0,0.02027027,0,0,0,0,0,0.27027027,0,0,0,0.033783784,0,0,0.236486486,0,0.02027027,0.054054054,0,0.033783784,0.006756757,0,0,0
NNR2 12,0,0.019230769,0,0,0,0,0.192307692,0,0.051282051,0.019230769,0,0,0.051282051,0,0.064102564,0,0,0,0,0,0.032051282,0.064102564,0.224358974,0,0,0,0,0,0,0.224358974,0,0,0.019230769,0.019230769,0.019230769,0,0,0,0
NNR2 14,0.042372881,0,0,0.084745763,0,0,0.042372881,0.025423729,0.06779661,0,0,0,0.084745763,0,0,0,0.025423729,0,0,0.06779661,0.042372881,0.025423729,0.296610169,0,0,0,0,0,0,0.169491525,0,0,0,0,0.025423729,0,0,0,0
NNR2 15,0,0.019354839,0,0,0,0.161290323,0.051612903,0,0,0,0.032258065,0,0.161290323,0,0.032258065,0,0,0,0,0.064516129,0.032258065,0,0.193548387,0.019354839,0,0,0,0,0,0.193548387,0,0,0,0.019354839,0,0.019354839,0,0,0
NNR2 16,0.019607843,0.019607843,0,0,0,0,0.065359477,0.032679739,0.032679739,0,0,0,0.196078431,0,0,0,0.019607843,0.019607843,0,0.032679739,0,0,0.098039216,0,0,0,0,0,0,0.359477124,0,0,0,0.052287582,0.052287582,0,0,0,0
NNR2 17,0.051282051,0,0,0,0,0,0.128205128,0.019230769,0.032051282,0,0,0,0.128205128,0,0.019230769,0.051282051,0.096153846,0,0,0.051282051,0,0.032051282,0.128205128,0,0,0,0,0,0,0.16025641,0,0,0,0.064102564,0.032051282,0.006410256,0,0,0