,Ach mil,Agr das,Agr sca,Ant neg,Ant par,Art fri,Art lud,Ast agr,Ast fal,Ast lae,Bou gra,Cam rot,Car spp,Cer arv,Com umb,Dan int,Ely tra,Eri cae,Fal con,Fes hal,Gal bor,Geu tri,Hes cur,Koe mac,Nas vir,Oxy cam,Pas smi,Pen gra,Poa int,Poa pra,Pot arg,Pot con,Pot hip,Ros ark,Sol mis,Tar off,The rho,Tra dub,Vio adu
NNR2 2,3,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,50,0,0,0,15,0,1,0,0,0
NNR2 3,8,0,0,0,3,10,0,0,3,5,15,0,20,3,0,0,0,0,0,0,0,0,25,0,0,0,5,0,0,40,0,0,0,0,0,0,0,0,3
NNR2 4,0,0,10,0,0,0,0,0,8,3,0,0,25,5,0,0,0,0,0,0,0,0,70,0,0,3,0,3,0,0,5,3,0,5,3,0,0,0,0
NNR2 5,3,0,0,0,0,0,8,0,0,30,18,0,8,5,1,0,0,0,0,0,0,0,30,3,0,0,0,0,3,40,0,0,0,10,0,0,0,0,0
NNR2 6,0,0,0,0,0,3,8,0,15,0,5,0,20,0,3,0,0,0,3,0,5,0,40,10,20,0,0,0,0,0,0,0,0,3,0,3,8,1,3
NNR2 7,0,3,0,0,5,0,0,0,25,0,0,1,15,3,1,0,0,0,0,0,0,0,45,10,0,0,0,3,3,20,0,0,0,5,3,0,0,0,0
NNR2 11,3,0,0,0,0,5,10,5,10,5,0,0,10,0,0,0,3,0,0,0,0,0,40,0,0,0,5,0,0,35,0,3,8,0,5,1,0,0,0
NNR2 12,0,3,0,0,0,0,30,0,8,3,0,0,8,0,10,0,0,0,0,0,5,10,35,0,0,0,0,0,0,35,0,0,3,3,3,0,0,0,0
NNR2 14,5,0,0,10,0,0,5,3,8,0,0,0,10,0,0,0,3,0,0,8,5,3,35,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0
NNR2 15,0,3,0,0,0,25,8,0,0,0,5,0,25,0,5,0,0,0,0,10,5,0,30,3,0,0,0,0,0,30,0,0,0,3,0,3,0,0,0
NNR2 16,3,3,0,0,0,0,10,5,5,0,0,0,30,0,0,0,3,3,0,5,0,0,15,0,0,0,0,0,0,55,0,0,0,8,8,0,0,0,0
NNR2 17,8,0,0,0,0,0,20,3,5,0,0,0,20,0,3,8,15,0,0,8,0,5,20,0,0,0,0,0,0,25,0,0,0,10,5,1,0,0,0