Species,ANR (Dist) 2,NNR2 (Undist) 2,ANR (Dist) 3,NNR2 (Undist) 3,ANR (Dist) 4,NNR2 (Undist) 4,ANR (Dist) 5,NNR2 (Undist) 5,ANR (Dist) 6,NNR2 (Undist) 6,ANR (Dist) 7,NNR2 (Undist) 7,ANR (Dist) 11,NNR2 (Undist) 11,ANR (Dist) 12,NNR2 (Undist) 12,ANR (Dist) 14,NNR2 (Undist) 14,ANR (Dist) 15,NNR2 (Undist) 15,ANR (Dist) 16,NNR2 (Undist) 16,ANR (Dist) 17,NNR2 (Undist) 17
Achmil ,3,3,15,3,8,0,3,3,1,0,5,0,3,0,0,0,5,1,1,3,3,5,5,5
Agr cri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Agr das,0,1,0,1,0,1,1,3,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Agr sca,30,3,20,3,8,1,10,0,20,0,20,0,8,0,0,0,30,0,15,0,20,0,35,5
And sep,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Ant neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Ant par,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boe div,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art fri,0,0,10,1,10,1,8,0,3,15,0,0,20,0,0,0,0,0,0,0,1,0,1,1
Art lud,5,10,0,0,0,0,8,3,15,5,0,0,0,8,15,8,15,15,8,5,8,8,5,5
Ast agr,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,3,0,0,3,8,3,3
Ast fle,0,0,5,0,5,3,8,0,0,0,5,0,0,5,0,0,0,0,1,0,0,0,0,0
Bou gra,0,1,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bro ine,0,0,10,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam rot,3,1,0,0,0,1,0,8,0,0,0,1,0,0,0,1,10,5,3,1,1,0,3,1
Car spp,3,20,1,10,1,25,3,10,0,15,0,10,0,8,5,8,0,8,0,10,0,10,5,10
Cer arv,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,1,1,3,1,1
Che alb,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cir arv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cir vul,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col lin,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Com umb,0,0,0,3,0,1,0,1,0,5,0,1,0,0,0,5,0,1,0,0,0,0,0,1
Ela com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ely tra,0,0,0,1,0,0,0,3,0,0,0,8,0,0,3,10,3,1,0,0,10,3,5,8
Eri cae,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eri gla,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,3
Ery inc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fal con,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fes hal,0,3,1,15,0,0,0,0,0,0,0,8,0,0,0,3,0,1,0,15,0,1,5,3
Fra vir,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gai ari,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Gal bor,0,0,0,0,0,0,0,0,5,3,0,0,5,0,10,3,5,8,1,0,0,0,3,3
Gen ama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
Geu ale,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geu tri,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,8,5,0,0,5,5,3,1,3
Hes cur,0,5,1,8,3,40,0,5,3,10,0,10,0,15,0,8,0,25,0,15,5,8,8,5
Koe mac,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Mul pul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Nas vir,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ort lut,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,3,0,0
Oxy cam,0,0,1,0,1,0,0,0,0,0,0,15,1,0,3,10,3,0,3,0,0,0,0,0
Pas smi,1,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Pen gra,1,0,0,0,0,1,1,1,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Poa int,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Poa pra,5,35,5,30,3,5,3,30,5,0,8,20,40,70,25,15,3,15,8,10,10,55,3,20
Pot con,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pot hip,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Pul nut,0,0,3,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Ros ark,8,20,0,0,1,1,0,1,0,0,3,3,3,10,3,5,0,3,5,5,8,1,0,1
Rub occ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
Silvery hairy mustard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sis mon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,8,0,0,1
Sol mis,3,5,0,0,0,3,3,0,0,0,3,8,0,5,5,3,10,5,1,3,1,10,0,1
Son arv,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Sym fal,0,3,0,5,1,1,1,3,0,15,3,5,0,1,0,0,0,5,0,0,1,1,3,0
Sym lae,3,0,1,5,3,3,0,10,0,3,1,1,3,0,0,0,5,0,0,3,0,0,1,0
Tar off,0,1,0,0,0,1,1,0,0,0,0,0,1,5,1,0,0,1,1,1,1,0,1,1
Tha ven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The rho,0,0,3,0,3,3,5,8,0,1,3,5,10,0,8,0,0,0,0,0,1,0,0,0
Tra dub,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0
Vic ame,0,5,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,5,3,0,0,1,3
Vio adu,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Weed 1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0